P1:	Assalamualaikum cikgu.
C31:	Sebab *pro_3rd_S* ke Arab sikit *pro_1st_S* lebih suka panggil Abah.
P32:	Jadi cikgu panggil Bah ajelah ye?
C33:	Bah.
C34:	Sebab tu, *pro_3rd_S* panggilan Benggali.
C35:	Orang Benggali panggil Ba, Bu *pro_3rd_S* banyak panggilan keluarga.
C36:	Isteri saya, kami tak de Melayu.
C37:	Jadi saya cuba panggilan saya kepada cucu saya panggilan orang Melayu.
P38:	Emak bagaimana pula?
C39:	Emak ada juga panggil Ibu.
C40:	Emak biasanya emak ibu, itu di sebelah PP.
C41:	Kalau kawasan PP, saya kawasan daerah Tanjung, kawasan Tanjung banyak peratus darah Melayunya kurang.
C42:	Sebelah Kedah, *pro_3rd_S* betul-betul memang kawasan Melayu, bangsa Melayu, Pulau.
C43:	Selain daripada tu, macam saya bahasanya banyak kacukan kalau *pro_2nd_S* tanya *pro_1st_IO* Maini, saya tahu Maini tu kakak ke atau kakak ipar ke tu *pro_1st_S* panggil Maini.
C44:	*pro_1st_S* Panggil Mamu, pak sedara *pro_1st_P* Mamu.
P45:	*pro_3rd_S* Pak sedara sebelah bapak atau emak?
C46:	*pro_3rd_S* Sebelah bapak *pro_1st_P* , sebelah emak *pro_1st_P* *pro_1st_S* panggil mamu.
C47:	Kalau sebelah perempuan *pro_1st_S* panggil mami.
C48:	Jadi pada saya, saya tak mahu itu.
C49:	Jadi mungkin saya kalau ada jenis keluarga macam tu, apa sebab dibuang tu.
C50:	Saya nak anak-anak saya berat pada Melayu.
P51:	Kalau sebelah tuk *pro_2nd_P* macam mana?
P52:	Kalau *pro_2nd_S* panggil tuk perempuan atau atuk lelaki *pro_2nd_P* panggilan *pro_2nd_P* macam mana?
C53:	Tuk sebelah kepada mak saya, saya panggil *pro_3rd_IO* Tuk Ayah.
C54:	Tuk Ayah kepada lelaki.
C55:	Bapak kepada mak saya, saya panggil Tuk Ayah, mak kepada mak saya, saya panggil Mak Tuk, sebelah bapa saya, mak kepada bapa saya, saya panggil Dadi.
P56:	*pro_3rd_S* Macam mana orang putih pula ye?
C57:	Bukan, itu Arab.
C58:	Sebab Dadi ni bahasa Sanskrit sebab dia ada dadi untuk datuk perempuan.
C59:	Kalau pada datuk lelaki dipanggil Dada.
C60:	Contohnya ada orang Melayu kita gunakan Dada -*pro_1st_S* minta maaf jika saya sebut nama.
C61:	Perkataan dada tu juga ada digunakan pada orang Melayu kita dalam memanggil nama.

C62:	Pada datuk lelaki, orang India, yang ada keturunan Benggali sikit-sikit tu, dia panggil Dadi.
C63:	Jadi saya panggil mak kepada bapak saya tu Dadi.
C64:	Bapa kepada bapak saya, saya tak jumpa.
C65:	Tetapi biasanya orang panggil Dada.
C66:	Jadi ada orang gunakan Dada.
C67:	Kemudian ada tuk perempuan, tu panggilan orang India sebelah Keling dia kata Nani (tuk perempuan).
C68:	Tuk lelaki dipanggil Nana, sedangkan biasanya kita tahu Nana ni panggilan abang pada orang Tamil.
C69:	Tetapi ada satu kaum daripada India tu, Nani tu tuk perempuan sebab ada orang kampung saya panggil Tuk Nani.
C70:	Dan nana yang saya tahu ni, ada satu guru Melayu anak dia panggil kepada dia nana.

C71:	Ada orang lain panggil nana tu, gaya tu macam tuk-tuk sedara.
C72:	Jadi anak dia pun dengar orang panggil bapak dia Nana, dia panggil bapak dia nana, orang Melayu kita.
C73:	Dia kata, mana bapak awak, mana nana awak?
C74:	Dia kata nana pergi pekan.

C75:	Dia panggil bapa dia nana kemudian bapa dia punya cucu sedara tu panggil dia nana.
C76:	Dia tu tuklah.
C77:	Nana lawannya Nani, Dada lawannya Dadi, saudara lawan sedarilah.
C78:	Tu kaedah biasa tu.
C79:	Itu kaedah bahasa sanskrit tu, lelakinya bunyi /a/, perempuan bunyi /i/, saudara-saudari, siswa-siswi.
C80:	ltu yang biasa digunakan dan sekarang ni.

C81:	Pada saya pula, cucu saya panggil saya Tok Wan.

P82:	Cucu *pro_2nd_P* panggil cikgu Tok wanlah.
C83:	Tok laki-laki dan Tok Wan, pada Tok perempuan *pro_3rd_S* panggil Tok sahaja.
C84:	Jadi ada tempat pulak, Tok wan tu disebut pada datuk sebelah perempuan.
C85:	Yang lelaki *pro_3rd_S* panggil atuk pulak.
C86:	Macam di sebelah selatan panggil atuk perempuan, *pro_3rd_S* panggil Opah bukan?
P87:	Orang Perak tu orang Perak.
C88:	Orang Perak ka, sana Opah tak reti.
C89:	Dia tengok gambar opah, dia orang tak tahu apa makna Opah kecuali *pro_3rd_S* kena belajar bahasa.
C90:	Saya rasa sepatunya terutamanya macam badan-badan yang ada kaitan dengan perkembangan bahasa, menyusur supaya apakah panggilan untuk bapak, berapa banyak panggilan untuk abah/bapak, Ayah, Dadi, Mami.
C91:	Tetapi mami di PP, kata anak mami tulah, mati tu macam mak sedara atau auntie, macam Indonesia panggil Tanter.
C92:	Tulah di PP *pro_3rd_S* panggil Mami.

C93:	Mamak ni sebenarnya kita panggil mamak, sedangkan macam orang Melayu maksudnya mamak ni, sama ada Jawa atau sebagainya.
C94:	Tetapi memandangkan mamak sama makna serupa kakang dengan kakak, serupa ibung dengan ibu/ading dengan adik.
P95:	Dari segi tatatingkat tu ada perbezaan kata.
C96:	Saya rasa ada pengaruh Jawa.
C97:	Kata kakang tetapi kita panggil kakak.
P98:	Adakah/ada tak bahasa halus atau bahasa kasar.
C99:	*pro_3rd_S* Tak kasar, kakang dalam bahasa Jawa, maksudnya yang lebih tua, tak pun kakak tu yang lebih tua.
C100:	Tetapi sekarang ni *pro_3rd_S* berubah kepada perempuan juga kalau lelaki dia kata abang, dan abang gelaran dan bukannya abang tu maknanya brother, *pro_3rd_S* bukan.
C101:	Abang satu gelaran kehormatan macam di Brunei.
C102:	Di Brunei banyak nama abang.
C103:	Kita abang di sini maksudnya the brother.
C104:	Sekarang dalam bahasa Melayu the brother dan the sister tu kakak.
C105:	Jawanya Kakang, sebab tu kakanda tu kakangda bukan kakanda, adingda bukan adikda, *pro_3rd_S* bahasa kita dulu.
P106:	Macam dalam adik-beradik cikgu.
P107:	Di kalangan adik-beradik *pro_2nd_S* lingkungan umur lebih kurang begitu, dalam sistem panggilan dalam adik-beradik cikgu bagaimana yang sulung dipanggil apa, cik anak apa....
C108:	Yang sulung, saya ni kampung yang duduk di kawasan pinggir bandar.
C109:	Panggilan kurang digunakan.
C110:	Perkataan andak, anjang, angah, along tu tak de....
C111:	Semua abang, kakak.
P112:	*pro_2nd_S* Sebut namalah.
C113:	*pro_1st_S* Sebut nama, biasanyanya kami lebih manja panggil nama.
P114:	*pro_1st_S* Lebih mesra.
P115:	*pro_1st_S* Panggil Man, kalau adik saya.
P116:	Adik saya panggil *pro_1st_IO* Nana @ abang.
P117:	Kalau *pro_3rd_S* panggil *pro_1st_IO* Nana tu orang tahu dia tu keturunan India sikit.
P118:	*pro_3rd_S* Panggil Nana.
P119:	Kalau Aci lebih teruk sikit kalau *pro_1st_S* panggil Aci.
P120:	Biasanya orang India masih 60/70% dia punya aci nama.
P121:	Bila dia mai 40/50% panggilan nana ada, Aci dah kurang dah.
P122:	Aci ni kakaklah.
P123:	Jadi oleh sebab cikgu kata dalam keluarga cikgu ada keturunan India sedikit, jadi mungkin panggilan tu agak berbeza daripada keluarga Melayu lain.
P124:	Jadi apabila cikgu sudah berumah tangga dengan orang Melayu, cikgu pun orang Melayu sebenarnya kan.
P125:	Jadi anak-anak cikgu... berapa orang anak-anak cikgu.
C126:	8 orang anak.
P127:	Alhamdulillah.
P128:	Jadi yang lapan orang ini dari segi panggilan adik-beradik diorang ni macam mana?
C129:	Kebanyakan *pro_3rd_S* sebut nama.
P130:	*pro_3rd_S* Sebut nama, *pro_3rd_S* takde panggil Along?
C131:	*pro_3rd_S* Takde langsung kecuali cucu saya.
C132:	Ada cucu *pro_1st_P* yang mak diorang sebelah ke Balik Pulau.
C133:	Jadi dia hendak cara dia.
C134:	Yang si bapak ni (anak saya) dia katalah orang KL dengan orang Serdang.
C135:	Kalau duduk KL dia cakap KLlah.
C136:	Kalau kat Serdang tu *pro_3rd_S* pakai cara Serdanglah.
P137:	Yang duduk di Serdang ni....
C138:	Dia banyak Along, Angah apa semua, dia sebutlah tu.
C139:	Adik beradik keluarga anak *pro_1st_P* tu, dia panggil Ayah, Abang Long, Abang Ngah.
P140:	Jadi kalau yang Serdang ni yang sekarang ni ada di KL, *pro_3rd_S* memanggil yang pertama tu bagaimana, anak sulung *pro_3rd_S* panggil bagaimana?
C141:	Dia panggil Along biasanya, yang sulung, Angah yang kedua.
C142:	Selain daripada tu dia orang sendiri pun tak tahu.
C143:	Sebenarnya Along, Angah kemudian busu.
P144:	Busu yang nombor 3.
P145:	Busu.
C146:	Dia ada 3.
C147:	1, 2, 3 habis... kalau ada lagi.
C148:	Biasanya Along, Angah.
C149:	Mereka tak reti nak bubuh apa.
C150:	Dia tengok kalau yang tua tu, Anjang dia letak, yang tu Andak, pendek, Andak.
P151:	Andak tu nombor berapa?
C152:	Jadi dia cari yang muda.
C153:	Muda daripada yang tua.
C154:	Sebab tadi ada 1, 2, 3, Along, Angah, Usu kalau tiga.
C155:	Tetapi kalau 4, yang ini masuk celah mana *pro_1st_S* tak tahu.
C156:	Saya sendiri tak tahu bubuh ikut celah mana.
C157:	Kalau sekarang *pro_1st_S* ada 7 beradik, nombor 1 Along, nombor 4 bubuh Angah misalnya, *pro_3rd_S* dah salah.
C158:	Orang Melayu, nombor 1 along, nombor 2 Angah, sebab nombor 3 Busu.
C159:	Tetapi kalau datang 4, celah mana *pro_3rd_S* nak masuk.
C160:	Ada bubuh alang kudu, anjang, a... ah Along, Alang, sebab Alang tu kekadang tinggi.
C161:	Kalau Anjang, Anjang lebih tinggi lagilah.
C162:	Sama ada Alang, kemudian Anjang, kemudian kalau Anjang, yang andak takde, *pro_3rd_S* tak kira Anjang, sebab dia bawah dia pendek.
C163:	Kalau 5 Along dia tinggi bawah lagi tu mungkin uda... muda.
C164:	Macam bunyi tempat saya tu, dekat tempat pak sedara saya tua, tu saya panggik *pro_3rd_IO* Pak Caq.
C165:	Pak Caq tu besaq, bapak besaq.
C166:	Bila *pro_3rd_S* besaq maknanya dia mesti senior.
C167:	Kalau pak uda, pak utih, pak sedara saya yang muda saya panggil Pak Utih.
C168:	Sebab Pak Utih lebih muda daripada Pak Itam.
C169:	Pak Itam lebih tua.
C170:	Kalau Pak Uda dia lebih muda daripada Pak Wa.
C171:	Pa Wa lebih tua.
C172:	Itulah kedudukannya.
C173:	Tetapi nak dimasukkan nombor tu, saya sendiri tak cermin.
C174:	Cuma saya, antara yang tengah-tengah tu Angahlah.
C175:	Yang nombor 1 along.
C176:	Dia antara Along nak mai kat Angah tu berapa lagi saya tak tahu.
C177:	Tetapi dia mesti ada yang tua yang muda ke bawah semua sebelum *pro_3rd_S* pergi ke busu, yang masuk kawasan antara ayah *pro_1st_P* dengan Busu ni, Uda, Andak, Pak Cik, semua tu bawah daripada yang tengah.
C178:	Yang atas daripada yang tengah, bawah daripada yang sulung, Along, Anjang, Pak Tam, Pak Besaq, Pak Caq.
C179:	Itu ada 2 seksyen.
C180:	Entah *pro_1st_S* nak susun 1 hingga 7 misalnya, *pro_1st_S* tak dapat nak cari.
C181:	Saya cuba juga.
C182:	Selalunya dalam Kamus Dewan, kamus moden bahasa Indonesia, saya ambil nama-nama Melayu dalam kitab dulu, kitab nama-nama Melayu dan gelaran tak dapat dipastikan.
C183:	Yang saya pasti tu yang nombor 1 Along, nombor 2 Angah, yang kecil sekali Bongsu.
C184:	Tetapi Pak Uda nak letak mana saya tak tahu.
C185:	Sebab kalau ada Pak Uda, Pak Wa mesti atas daripada yang tengah.
C186:	Sebab Uda dengan tua, Pak Wa, Pak Uda sepasang.
C187:	Pak Anjang dengan Pak Andak dia berpasang.
C188:	Pak Caq dengan Pak Cik dia berpasang, yang pasang besaq, tua/kanan tu semua sebelah atas.
P189:	Adakah disebabkan *pro_3rd_S* nak mengelakkan daripada kekeliruan yang mana satu, Angah ke, Anjang ke menyebabkan dalam keluarga cikgu ni mereka gunakan panggilan tu sebut nama sahaja.
C190:	*pro_1st_S* Sebut nama sahaja, yang pak sedara pula, cucu-cucu sayalah, anak saya yang nombor satu, dia orang panggil *pro_2nd_IO* pak long/mak long, yang lain-lain Pak Long /Mak Long.
P191:	Pak manakan dialah.
C192:	Ye, pak manakan dia.
C193:	Anak saya yang sulung.
C194:	Anak saya nombor 2 perempuan, dia kahwin, jadi dua-dua dipanggil Pak Caq/Mak Caq.
C195:	Pak Besaq/Mak Besaq ni cucu-cucu saya yang lain.
C196:	Yang nombor 3 laki-laki, dia panggil Pak Ngah.
C197:	Pak Ngah/ Mak Ngah, itu yang nombor 3.
C198:	Nombor 4 laki-laki juga, dia orang panggil Pak Anjang/Mak Anjang.
C199:	Nombor 5 perempuan, dia orang panggil Pak Teh/Mak Teh.
C200:	Nombor 6 laki-laki.
C201:	Entah macam mana dia suruh *pro_3rd_S* panggil Mamu pada dia.
C202:	Semua panggil *pro_3rd_IO* Mamu.
C203:	Mamu tu dalam bahasa India tu... pak sedara.
C204:	Kemudian nombor 7 laki-laki, dia orang panggil Pak Cik, dah kahwin Pak Cik/Mak Cik.
C205:	Jadi yang Mamu tadi yang perempuan *pro_3rd_S* panggil Mak Cik juga.
C206:	*pro_3rd_S* Bahasa budak-budak juga.
C207:	*pro_3rd_S* Panggil *pro_3rd_IO* Mamu...
C208:	Mamulah dan *pro_3rd_S* panggil Mak Cik, *pro_3rd_S* panggil Mak Ciklah.
C209:	Asalkan dia tahu yang Mamu tu siapa yang Mak Cik tu siapa.
C210:	Pak Sedara dia hormat sebagai Pak Sedara.
C211:	Yang nombor 7, Pak Cik *pro_1st_P* kahwin dengan orang Perlis...
C212:	Mak Cik.
C213:	Yang nombor 8, Mak Su... *pro_3rd_S* belum kahwin.
P214:	Macam sebelah isteri cikgu bagaimana?
P215:	Ada panggilan juga atau berbeza dengan cikgu ataupun....
C216:	Saya tak berapa berbeza, begitulah.
C217:	Semua ada panggil Ayah, Uda, Pak Su/Mak Su, yang *pro_1st_S* tahu Pak Long, Pak Cik, Pak Su, Pak Ngah/Mak Ngah, yang tu yang lazim.
C218:	Pak Anjang, Pak Andak, kalau sebelah kawasan saya tak berapa mahir, yang luar daripada bandar banyak gunakan tu, Pak Anjang, Pak Andak yang pada saya lazimnya Pak Long, Pak Su, Pak Caq, Pak Cik gitulah.
P219:	Mungkinlah cikgu rasa dengan generasi muda akan datang ni, panggilan-panggilan tadi akan pupus atau masih lagi mereka amalkan panggilan-panggilan dalam keluarga Melayu kita.
C220:	ltu saya rasa terpulang pada penggunaannya.
C221:	Sebelah ke arah kampung atau bandar kecil-kecil, dia akan kekal.
C222:	Sebab orang tua saya tulah sedapnya.
C223:	Orang ke bandar sikit, dia panggil Mummy, Daddy aje, Uncle, Untie.
C224:	Saya ada sorang *pro_3rd_S* panggil Uncle, dia tak kena panggil Uncle.
C225:	Saya panggil *pro_3rd_IO* Pak Cik.
C226:	Sayid-sayid dia apa nama.
C227:	Saya tahu yang panggil *pro_1st_IO* Uncle saya orang bandar.
C228:	Dia hormat saya sebagai Uncle.
P229:	*pro_3rd_S* Bukan dari keluarga cikgu sendirilah... orang luar yang tidak dikenalilah.
C230:	Ada orang panggil saya Pak Cik, Tok, Atuk, biasanya dia orang panggil *pro_1st_IO* Pak Cik.
C231:	Bila *pro_3rd_S* panggil *pro_1st_IO* Atuk nampak *pro_1st_S* tua sangat.
P232:	*pro_1st_S* Nak rasa muda sekali-sekala tu.
C233:	Saya *pro_3rd_S* panggil Atuk pun tak mengapa, memang saya dah atuk dah.
C234:	*pro_1st_S* Tinggal belum bercicit lagi.
C235:	Jadi pada saya, panggilan ni, kecuali kita adakan suatu meter, misalnya di Perancis dia buat satu sukatan meter tu, disukatkan kat situ itulah kata panjang meter sampai sekarang, *pro_3rd_S* tak boleh dah.
C236:	Jadi untuk *pro_1st_S* refer balik, *pro_1st_S* nak tahu tentang meter, betul atau salah, *pro_1st_S* refer.
C237:	Jadi sepatutnya panggilan ni pun kita buat satu tempat, supaya kalau keluarga Melayu dalam bahasa Melayu dari zaman dahulu sampai sekarang, kalau tiga beradik 1, 2, 3 begini, bermakna Along, Angah, Busu, 3 beradik.
C238:	Kalau 4 beradik, *pro_3rd_S* nak masuk tang mana, biasanya Along, Angah tu nombor 3 Busu.
C239:	Kemudian yang lagi banyak yang 4 beradik tu, *pro_3rd_S* ikut lepas Along, Angah, tang sini.
C240:	Sebab panggilan *pro_3rd_P* melekat pulak, Along, Angah.
C241:	Lepas tu adik-beradik mai yang Along, Angah tak boleh nak buang.
C242:	Sampai 7 beradik pun, Along, Angah, Along, Angah.
C243:	Jadi semua masuk celah ni sahaja.
C244:	Mungkin sebab boleh Anjang boleh duduk atas daripada Angah atau Angah memang nombor dua pun.
C245:	Kalau *pro_1st_S* nak kata Angah tu jawatan nombor 2, nescaya *pro_3rd_S* bukan kata Angah.
C246:	Sebab Angah jawatan *pro_3rd_P* di tengah-tengah mesti ada sesuatu di atas, sesuatu di tengah.
C247:	Tapi kalau dah 4, 5, 6, 7 beradik, dia sepatutnya masih di tengah.
C248:	*pro_1st_S* Katalah *pro_3rd_S* 5... 1, 2 yang ketiga Angahlah.
C249:	Tetapi yang ni dah---Angah pada masa yang kedua, yang ketiga lagi *pro_1st_S* nak tukar *pro_3rd_DO* *pro_1st_S* tak boleh.
C250:	*pro_1st_S* Mana tau, kalau 7 orang, dia masih Angah juga, kita nak katakan Angah nombor 2, salah bahasanya.
C251:	Angah tu maksudnya tengah.
P252:	Kalau 10, yang kelimalah gitu, misalnya 5 tu yang dipanggil tengah.
C253:	Tu kalau 11 ambil 6 lah, 6 dipanggil Angah.
C254:	Tetapi silapnya Angah dah diambil untuk nombor 2 tu pada awal-awal lagi.
C255:	*pro_1st_S* Nak tukar *pro_3rd_DO* *pro_1st_S* tak boleh.
C256:	Kalau kita nak tukar *pro_3rd_DO* , *pro_1st_S* nak adjust *pro_3rd_DO* , *pro_1st_S* dah tak boleh nak adjust *pro_3rd_DO* dah.
C257:	Jadi sebab tu, saya tak tabu nak buat macam mana.
C258:	Dah cucu saya tanya *pro_1st_DO* , saya kena jawablah.
C259:	Saya kira siapa dia 11 beradik, yang ke-3 tu anak.
C260:	Dia kata macam mana ni Tok Wan.
C261:	Dia Tok Wan kaji ni, angka ni dia punya graf.
C262:	Awak susunlah balik.
C263:	Awak panggil nombor 2 Angah, panggilan tu salah.
P264:	Jadi kalau lebih daripada 10 tu, macam mana, katalah adik-beradik yang kecil sekali, 5 bongsu sekali, yang 11 selalu bongsu.
C265:	Bongsulah.
C266:	Tetapi sebelum mana kita tahu nombor 11 tu bongsu.
C267:	Takkan nombor 7 tu bongsu.
C268:	Ada yang nombor 5 bongsu dan sebagainya bongsu, macam mana kita nak adjust *pro_3rd_DO* *pro_1st_S* tak boleh.
C269:	Lastly sampai 9 bongsu semua.
C270:	Jadi tu masalah tu bagaimana saya tak tahu caranya.
C271:	*pro_3rd_S* Serupa dengan Anjang, cuma yang saya tahu daripada yang ditetapkan, kalau Anjang di sebelah atas, di sebelah tengah, kalau dia 5 beradik, dia mungkin 2 atau tiga.
C272:	Dia tidak boleh duduk nombor 4 atau 5, sebab dia Anjang dan lawannya Andak.
C273:	*pro_3rd_S* Serupa juga dengan Pak Caq dan Pak Cik, Uda dengan Pak Wa.
C274:	Pak Wa tu tua, *pro_3rd_S* mesti atas.
C275:	Dia lawannya Uda.
C276:	Kalau Pak Tam, Pak Teh, Pak Itam tu hitamlah, biasanya *pro_3rd_S* besar sikit hitamlah.
C277:	*pro_3rd_S* Kecik-kecik putihlah.
C278:	Jadi Pak Teh *pro_3rd_S* panggil yang muda, Pak Tam yang tua.
P279:	Jadi, maknanya panggilan Pak Tam, Pak Teh tu bukanlah menunjukkan warna kulit agaknya.
C280:	Itu boleh jadi kemungkinan.
C281:	Tetapi kalau *pro_1st_S* nak kata kemungkinan, masa Pak Tam tu, yalah *pro_3rd_S* nak mai masuk Pak Teh atau Pak Tam tu, dia hitam sikit daripada kakak dia, *pro_3rd_S* dipanggil Pak Tam yang datang lagi tu hitamlah.
C282:	Jadi saya rasa yang Itam dengan Pak Teh tu bukan kerana warna tetapi kedudukan diorang.
C283:	Jadi kalau yang Itam tu dah teruk sikit kerjanya, *pro_3rd_S* dah tua, hitamlah.
C284:	Yang muda-muda sikitlah.
C285:	Kalau dia ada Pak Tam, dia bubuh Pak Teh, kalau *pro_3rd_S* ada Pak Caq dia bubuh Pak Cik, dia ada Pak Wa.
C286:	Sesetengah Wa tu yang kemudian, kalau dia makin ada banyak beradik, gelaran akhirnya Wa.
C287:	Jadi saya rasa... minta maaflah... biasanya kita jarang gunakan secara terperinci.
C288:	Kita ada sejengkal, sehasta, sedepa, berapa panjang *pro_1st_S* tak berani nak tetapkan.
C289:	Tetapi itulah ukuran orang Melayu serupa.
C290:	Sebab tu saya biasa orang kata time Melayu, itu bukan salah time Melayu.
C291:	Time orang Melayu dulu mana ada jam, tetapi orang putih ada jam.
C292:	Jadi kalau dia kata, orang suruh dia datang pukul 8, dia datang pukul 8.30, dia tak salah.
C293:	Kalau *pro_3rd_S* nak jumpa kat hospital tu, nurse kata datang pukul 8.00.
C294:	Pada dia tu pukul 8.00 macam mana, matahari naik sejengkallah.
C295:	Itulah pada dia pukul 8.00 macam mana.
C296:	Matahari tinggi segalah tu, 7.30 hingga 8.00, 8.30.
C297:	Jadi, kalau dia datang pukul 8.00, orang kata betullah.
C298:	Sharplah.
C299:	Tetapi kalau *pro_3rd_S* datang 8.30, *pro_3rd_S* lalailah.
C300:	Dia tak salah.
C301:	Dia punya time tu matahari terbit, matahari tinggi segalah, masa antara 7.30 hingga 9.30, itu tinggi segalah, *pro_3rd_S* panjang segalah.
C302:	Kalau *pro_3rd_S* datang pukul 11.00 atau 11.30 pada orang Melayu tu tengah hari muda.
C303:	Dia suka datang tepat, pukul 12.00.
C304:	Kalau dia datang pukul 12.30 pun tengah hari lagi tu.
C305:	Tetapi 11.30 tu tengah hari muda.
C306:	Sama juga dengan gelaran-gelaran ni, dia tak pi kena Sharp, yang pertama kena ni, yang kedua ni, *pro_3rd_S* tak dak.
C307:	Dia boleh fleksibel.
C308:	Sebaiknya orang Melayu kena tetapkan.
C309:	Ini gunakan ini... ini gunakan ini yang menyebabkan kacau, kita guna kaedah bahasa Inggeris.
C310:	*pro_1st_S* Tak ikut bahasa Melayu.
C311:	Satu contoh... *pro_1st_S* minta maaf... mungkin orang marah.
C312:	Tetapi saya sendiri pakai begitu.
C313:	Kita sedang melakukan satu kesalahan dengan mengatakan selamat malam.
C314:	Mengikut istilah sekarang, selamat malam ialah berpisah pada masa malam.
C315:	Kalau pukul 8 .00 pun, selamat malam, *pro_1st_S* tidur dulu.
C316:	Kalau *pro_1st_S* ucap pagi-pagi kita ucap selamat pagilah, kalau *pro_1st_S* jumpa tengah hari, selamat tengah hari, petang... petanglah lepas tu malam balik... *pro_1st_S* mana salah... kalau *pro_1st_S* jumpa waktu pagi, *pro_1st_S* senanglah... selamat pagi... kalau *pro_1st_S* jumpa tengah hari... selamat tengah hari, kalau petang... selamat petang, kalau malam, selamat malamlah.
C317:	Saya baru jumpa kawan *pro_1st_P* malam tu, pukul 9.00 malam... dia ucap selamat malam... *pro_1st_S* baru jumpa tu selamat malam... apalah... saya ke salah.
C318:	Bahasa Malaysia salah.
C319:	Sebab saya ikut buat apa bahasa tu.
C320:	Sebab saya kena kata selamat malam *pro_1st_S* jumpa masa tu.
C321:	Tetapi kerana bahasa bukan dipunyai oleh satu orang, tetapi digunakan oleh satu masyarakat yang gunakan bahasa tu, semuanya kata itu, itulah.
P322:	*pro_3rd_S* Diterima pakai.
C323:	*pro_3rd_S* Diterima pakailah, tetapi saya dari segi -,kalau orang tanya *pro_1st_IO* balik tu salah.
C324:	Tetapi kita dah guna *pro_3rd_DO* sekarang ni, *pro_1st_S* nak buat macam mana.
C325:	Sama juga dengan perkataan tuan.
C326:	Kalau saya panggil orang yang saya jumpa perempuan... tuan, orang lain terpandang senyum, mana orang tua ni mai ni.
C327:	Orang tua ni mai dari Tanjung Rambutan ka... atau *pro_3rd_S* dari Tampoi kaa....
C328:	Apa khabar tuan, orang gelak.
C329:	Tetapi itulah bahasa sebenarnya.
C330:	Dia hormat pada orang tu.
C331:	Dia hormat pada tuan puteri... sebutan tuan puteri dia tak sebut puan puteri.
C332:	Dia hormat pada raja.
C333:	Dia kata tuanku... tuan aku.
C334:	Dia kena tuan juga.
C335:	Perkataan tua, tuaan, itu tuan.
C336:	Tetapi sekarang ni apa yang saya jumpa seorang perempuan....
C337:	Apa khabar tuan?
C338:	Orang kata saya keluar dari jawatanlah.
C339:	Tetapi semua orang kata begitu.
C340:	Saya pun terpaksa kata begitu juga... saya tak boleh sebut apa-apa tuan.
C341:	Jadi di mana salah *pro_1st_P* ... bahasa tak salah... kita tak salah.
C342:	Kita lihat keadaan di mana dunia, masa, tempat.
C343:	Sekarang ni *pro_1st_S* kena beritahu mereka, yang tuan ni begini, yang puan ni bukanlah asalnya begitu, tetapi sekarang *pro_3rd_S* telah digunakan terlebih dahulu.
