A1:	Nak apa, nak buka?
D415:	Kalau kau tak berhenti menangis, kaumasukkan subang ajelah.
D416:	Ha.... Ha.... Ha... aduh geram aku... letih... riuh (suara bayi menangis).
D417:	Kalau budak sekolah siapkan, yang sekolah belakangkan, 20, 2 minit dah siap... buat matematik.
E418:	Kau buatlah tu.
D419:	He....
D420:	He....
D421:	He.
D422:	Aku memang cakap macam ni.
D423:	Nak buat macam mana?
E424:	Janji dah siap.
D425:	Macam-macam ada masalah, kau bayangkanlah, macam mana nak siap.
D426:	Hei pergilah.
D427:	Buat apa duduk dalam itu, kan nangis.
E428:	Tak boleh sayang, kalau tidak dia ketawa.
D429:	Ha...?
E430:	Tak boleh.

A431:	Pergi sekolah makan sarapan ke, apa benda ke....
A432:	Dia selalu balik Su... Su...
B433:	Sekolah pagi?
A434:	Iyalah, sementara tak habis, sarapan dulu, Kak Teh kenyang.
C435:	Kenyang mende?
A436:	Tak kesian ke engkau, dapat sekolah bodoh memang Si Manilah.
B437:	Oh... engkau bodoh.

A438:	Dapatlah 300 lebih hari tu.
A439:	Lepas tu kelim, kelim dapat 300 lebih.
B440:	Lebih mahal daripada anu.
B441:	Tak baguslah tok, Singer!
A442:	Kelim, teksi seorang.. .
C443:	Singer tak baguslah... tembus.
C444:	Sorang.
A445:	Apa benda tak bagus?
C446:	Satu teksi?
C447:	Ke teksi Long ko?
D448:	Apa benda?
E449:	Teksi tu kan baru.
D450:	Apa pulak.
E451:	Teksi hari tu kan baru.
D452:	Dah lama dah.
D453:	Bukan... masa tu dia ada terlibat dekat, ... dekat pasar... Merlong.
E454:	Ha, iyalah... dekat Merlong.
E455:	Masa tu dia pakai mandi lumpur.

A456:	Apa?
A457:	Nak apa?
B458:	Saya rasa, main lumpur tak.
B459:	Mak Tam tu pakai inai...
C460:	Sillent tu dia selalu pagi-pagi, sama dengan aku.
A461:	Habis... habis rokok.
A462:	Eh... harga mahal... nak berapa harga?
C463:	Nak yang mahal... yang 50 lebih.
A464:	ltu... itu.
C465:	Pakai yang Mirul aje....

A466:	Ha, pampers dekat situ murah.
A467:	Pampers lagi sesuai.
B468:	Nanti mahal pulak.
A469:	Habis, barang apa nak?
A470:	Basuh dulu...
B471:	Nasi tak adalah !
C472:	Ini, abang nak minum pagi?
A473:	Bubur ya?
D474:	Along!
D475:	Along!
A476:	Tak mahu makan Long?
E477:	Dah!
F478:	Boy! ... keluar.
A479:	Aku, betulkan bunyi kereta, rosakkan.
A480:	Nasib baik....
B481:	Enjin rosak?
C482:	Dik, Dik, Adik!
D483:	Pelahan ke bunyi?
D484:	Tak kuat?

A485:	Kereta siapa tu bunyi?
B486:	Kak Kiah.
C487:	Rosak nanti.
D488:	Sekejap lagi kalau rosak kena ganti.
D489:	Pasal dia sangkut dengan bateri, kan.
D490:	Kalau masuk simpang dia tak boleh ni...
D491:	Aku dah 2 kali, kereta aku Li.
E492:	Apa benda kena tukar?
C493:	Tak, ini dia.
C494:	Benda ni kalau rosak.
E495:	Apa benda?
E496:	Bateri kena tukar?
D497:	Rumah sana, kan....
E498:	Bateri kereta?
D499:	Hem, jadi mana-mana yang reject...
E500:	Hem, tak patutlah angkat.
E501:	Cakap dengan dia.
D502:	Aku, dah 2 kali ganti tau sebab dia selalu dah rosak tau.
D503:	Tam!
C504:	Adik!
C505:	Adik biar... biar... dia nak jalan tu.
F506:	Ta!
F507:	Ha.
E508:	Lawan dia, nanti dia pukul balik.
G509:	Dah... dah... dah... jangan usik.
E510:	Lepas... lepas, dia tak...

A511:	Tam, dia tahu kedai aje.
B512:	Dia punya badan aje.
C513:	Dia punya badan.
D514:	Bateri mana?
D515:	Bateri tu alarm dia bunyi aje, Kak Teh.
B516:	Eh, engkau rosak nanti.
D517:	Dia bunyi aje...
E518:	Bateri original ke?
D519:	Dah 2 kali aku pergi tukar bateri.
E520:	Original ke apa?
E521:	Aku dah 6 tahun, nak masuk 6 tahun Kak.
D522:	Tak pergi tukar pun, kalau 6 tahun rosak, engkau kena betulkan.
D523:	Kalau kau tak betulkan, bateri kosong, dia akan melibatkan satu kereta, ha...
A524:	Mak, nak duit.
B525:	Mak mana ada duit.
C526:	Mari-mari, Abang dukung.
D527:	Eh, jangan kacau dia, jangan kacau dia, nanti dia nangis.
C528:	Nak apa benda?
C529:	Ha... suruh apa benda.
C530:	Tapi... tak sempat.
D531:	Ni dah rosak 2 kali, bateri habislah.

A532:	Ambil Fatin.
B533:	Mak, ambil pi nak balik.
A534:	Hei.
C535:	Nanti, ada dia datang semalam Hussin?
D536:	Tak tahulah ya.
E537:	Kita baru tengok!

A538:	Ambil Tin, ambil, pergi main jauh, pergi.
B539:	Fatin!
B540:	Buaian hilang ni karang.
C541:	Jumpa ke Kak?
B542:	Apa dia?
C543:	Tu, buaian yang dekat tepi dinding, board tu, suruh tidur, tidur.
C544:	Nor tanya aku lagi tadi.

A545:	Ada orang marah dia pasal pakai baju politik.
B546:	Masa sembahyang?
A547:	Baju parti politik masa sembahyang dalam Masjid Ayer Baloi
C548:	Eh, suka hati oranglah, buat apa bising.
D549:	Siapa pengerusi dia?
B550:	Eh, baru ni solat berjemaah dalam masjid.
D551:	Siapa dia yang pengerusi Masjid Ayer Baloi?
A552:	Siapa kak?
D553:	Abu Hassan ke?
E554:	Abu Hassan?
D555:	Pengerusi Masjid Jamek Ayer Baloi.
D556:	Abang Mat ya?
P557:	Bukan, tu Masjid Jamek, Masjid Jamek.
E558:	Masjid Jamek tu Masjid Jamek.
P559:	Hendak apa?
D560:	Orang PAS tu, pakai baju warna PAS.
E561:	Pakai baju PAS, kamu diberi istiadat macam mana.
E562:	Ni Zainuddin Hassan, kalau pakai baju gantung boleh.
F563:	Oh... Zainuddin, Nuddin.
F564:	Zainuddin Hassan.
D565:	Kedah dengan Terengganu amalkan dah undang-undang PAS.
F566:	Salinan kepada YB Abdul Mizi kawasan Benut.
F567:	Nyok nyet nyok nyet.
F568:	Pegawai Tadbir Agama Daerah Pontian, Ketua Polis Daerah Pontian.
D569:	Tak payahnya polis-polis.
D570:	Tak boleh pakai baju, seluar hijau.
D571:	Pakai songkok hijau pun tak boleh.
G572:	Kan bersih... hei melampaunya.
G573:	Kan bersih Kak?
H574:	Fatin, nak satu.
F575:	Dah... dah, nanti nak bawa balik.
F576:	Tin, Tin.
D577:	Perbuatan saudara menyalahi solat berjemaah di dalam masjid dan mesti dinasihati.
F578:	Dalam apa?
F579:	Masuk dalam Harakah ke?

A580:	Marilah makan.
B581:	Oh... Hussin kenal ni?
A582:	Ha?
A583:	Long!
A584:	Long!
C585:	Along pergi.
D586:	Bagi balik, Iwan punya!
E587:	Ayam, daging ada dalam periuk Han.
E588:	Engkau nak apa benda?
F589:	Ma!
D590:	Hei bukan macam tu?

A591:	Kenapa Anuar asyik tidur aje?
A592:	Anuar?
B593:	Dia tak sihat!
A594:	Sakit kepala?
B595:	Dia sakit kepala.
A596:	Dah makan bang?
C597:	Apa pasal?
D598:	Pedih!
C599:	Tak, apa pasal tu?
A600:	Panjang luka dia.
C601:	Kenapa dengan dia?
A602:	Awak nak makan?
D603:	Tak.
A604:	Nak makan, makan.
E605:	Kenapa Dah?
A606:	Oh, Mak Ayah!
A607:	Ayah!
A608:	Ayah!
A609:	Ayah!
A610:	Panasnya.
C611:	Alah padahal bukannya apa pun.
C612:	Pakai t-shirt je.

A613:	Orang macam Hussin tu, mesti dah ramai dah!
B614:	Ramai tu ramailah.
B615:	Orang macam Hussin....
C616:	Dia tu takut.
B617:	Haah...
A618:	Orang macam Hussin tu mesti jumpa dah ramai dah.
D619:	Dah, dia tak pergi?
A620:	Tak, kalau dah tak, tak tahulah.
B621:	Macam mana orang macam Hussin boleh masuk PAS?

A622:	Mak, dengan perbuatan demikian, sudah tentu jika saudara tidak mengambil perhatian terhadap peraturan dan persaudaraan pada ahli jemaah.
A623:	Perkara....
B624:	Orang nak buat pistol.
A625:	Kami dari ahli Jemaah Masjid Ayer Baloi memberi amaran kepada saudara untuk memberhentikan dengan segera perbuatan saudara.
C626:	Tak payah sembahyanglah Hussin.
C627:	Tak payah sembahyang jemaah pun.
A628:	Demi menjamin dan mengekalkan kesucian ahli jemaah masjid yang baru.
A629:	Ha... ha...
C630:	Jemaah masjid yang baru tu?

A631:	Hulur pisau tu Long!
B632:	Ha.... Ha.... Eh, tak suka aku.
C633:	Bedah.... Bedah.... Bedah.
C634:	Eh, eh, Fatin!
C635:	Fatin!
D636:	Payah betul.
A637:	Dia ni tulis dalam surat.
A638:	Orang balik Haji bukak kedai mengalahkan orang Cina.
D639:	Apa benda?
A640:	Ya, Zainuddin Hassan.
D641:	Eh, surat, surat aku.
D642:	Jangan engkau sembunyi!
A643:	Dia buka kedai kopi, balik Haji.
A644:	Orang Ayer Baloi kalau pergi kedai, pergi duduk lenggang.
C645:	Oooh.
A646:	Bila orang cakap dah!
A647:	Macam mana, dah ikut adat rukun Haji.
A648:	Ha... siapa yang cakap begitu... orang tak pandang pun kedai Melayu.
C649:	Oooh.

A650:	Mak, mak.
B651:	Ooi.
C652:	Baju mama.
D653:	Nak buka sekolah!
D654:	Buka sekolah lagi 2 hari bukan?
B655:	Buka sekolah lagi 2 hari.
B656:	Dah tu?
D657:	Ingat tak sekolah!
E658:	His, cepat sikit.
D659:	Rumah dia banyak, hari-hari asyik balik, awak kena tinggal, hari-hari duduk sekolah.

A660:	Sayang!
B661:	Engkau nak pisau?
C662:	Pisau tu Mak.
B663:	Engkau nak pisau Jang?
D664:	Nampak ular kat atas tu.
E665:	Janganlah, kita nak benda tu.
D666:	Hakim.
F667:	Apa?
D668:	Jatuh bola tu Mama.
G669:	Farah!
G670:	Farah lalu kat mana?
H671:	Ha?
G672:	Farah pijak orang punya tu Mak.
C673:	Awi, Awi, Awi.
A674:	Kenapa?
C675:	Alah, sakit sikit.
A676:	Allah, Muhamad.
H677:	Mama.
C678:	A... Yah.
A679:	Nak air?
A680:	Siapa penyelia Maulidur Rasul, cakap.
A681:	Ambil, ambil, ambil.
B682:	Gelas, gelas.
A683:	Siapa minum air tu?
A684:	Fatin ya?
B685:	Amy.
A686:	Tak payahlah Lan.
C687:	Ambil, ambil.
B688:	Angah.
A689:	Ooh.... Ha... dah.
A690:	Kamu ni melampau-lampau.
B691:	Ha... ah, dengan siapa ni surat ni?
A692:	Ali.
D693:	Dari Kuala Lumpur, siapa baca?
C694:	Ha Zul, kenapa menangis?

A695:	Garang, garang, Oti garang!
B696:	Apa jadinya?
A697:	Pakai t-shirt aje.

A698:	Iwan mana?
A699:	Amy ...
B700:	Tok.
A701:	Amy.
C702:	Dah cukup.
A703:	Apa tu?
A704:	Ha ... engkau berak dalam seluar?
A705:	Engkau berak dalam seluar?
B706:	Seluar orang.
A707:	Berak pergi tukar.
A708:	Kenapa?
C709:	Mak, adik berak!
D710:	Eh, marilah.
E711:	Dia berak dalam seluar tu, Teh.
B712:	Kejap.
F713:	Dia terberak, selalu terberak dalam seluar budak ini.
E714:	Anu, dia terberak dalam seluar tu Mak.
G715:	Panggil Rosli, panggil dia.
H716:	Siapa?

A717:	Panggil dia, panggil.
B718:	Ayah, Ayah, Ayah.
A719:	Amboi!
B720:	Ayah!
C721:	Tak malu!
C722:	Berak kat seluar.
D723:	Kenapa?
D724:	Bilik air ada orang?
C725:	Bukanlah.
C726:	Hem, busuk!
C727:	Bau taik.
C728:	Jalan.
E729:	Kejap.
C730:	Pergi masuk dalam bilik air sana.
C731:	Kenapalah dah terberak baru cakap?
C732:	Sana, sana.
C733:	Angah, engkau ni nak berak ke nak apa?
C734:	Keluar!
F735:	Entah.

A736:	Pak Utih, Iwan main lecak.
B737:	Biar dia.
A738:	Iwan main lecak.
B739:	Biar dia.
A740:	Best ke main lecak?
C741:	Eh, jangan main mancis!
D742:	Ayah gemuk.
E743:	Cepat!
D744:	Abang lagi berat.
E745:	Cepatlah, karang-karang pakai seluar
D746:	Apa?
A747:	Tidur Abang.
A748:	Asmah.
B749:	Dia pakai tudung kain Aintri.
C750:	Dia ambil bawang, terserempak dengan Ani tadi.
C751:	Keluar dari dapur, dia nampak aku mengutip, mengadap orang makan, mengangkat barang sini ya dia kata.
C752:	Ha.... Ha.... Ha...
B753:	Oh Mak, Mak dia ambil baju Kris dia.
D754:	Assalamualaikum.
E755:	Toy.
F756:	Tuala, ha... ha... ha...
D757:	Uda, karang ya, kalau nak datang makan jemput datang ke rumah.
G758:	Mak, baju tak ada.
C759:	Dia kata tadi kalau nak datanglah Sham.
G760:	Mak, nak ikut Mak Tam, Pak Tam.
H761:	Eh, kereta Mak Tam penuhlah.
P762:	Sabar, jalan kang.
P763:	Eh, rumah Mak Tam kereta banyak baik-baik ya.
E764:	Eh Yati, mana Yati?
P765:	Eh, Pak Uda belum pergi ni, tauke ni nampak.
P766:	Faiz, Faiz naik kereta mak, Pak Tam.
E767:	Penuh.
G768:	Dah tu?
E769:	Orang ajak ke taman tadi.
P770:	Pergi tengok dulu, pergi tengok dulu.
E771:	Kamal pergi?
E772:	Si Kamal, Kamal.
P773:	Kamal banyak mulut!
P774:	Serumah tak nak pergi tu.
I775:	Adik banyak homework ya, ha.
I776:	Banyak hal.
G777:	Mak.

A778:	Eh, tu nanti siapa nak hantar tu.
B779:	Ah, kang nanti Mak balik.
A780:	Eh, Mama tak tahu.
A781:	Eh, barang-barang Mama letak kat mana?
C782:	Atas kain baju.
D783:	Alah adik Along.
D784:	Along sayang Adik.
P785:	Barang-barang ada tak?
A786:	Allahu Akbar.
A787:	Nasib baik kat situ buat celah pintu, tempat tak gelap.
A788:	Besar rumah ini, tak tanggal payung?
A789:	Dengar sini, engkau naik kereta nak gi mana.
B790:	Nak balik rumah ambil barang.
C791:	Terlepas dah Mak Tam dia.
D792:	Semua tu, bawa beg.
B793:	2 lawan 1.
E794:	Betul ke Mak Tam?
B795:	Betul.
A796:	Eh Si Ayu, mana ada tipu punya barang?
A797:	Ha.... Ha...
P798:	Mak, naik sini dulu.
A799:	Ha, dia duduk Terengganu....
A800:	Mari cikgu naik.
G801:	Mak, nombor yang anda dail tidak ada dalam perkhidmatan kami.
A802:	Ah, jangan nai beda'ah, dail lagi balik.
G803:	6932?
A804:	Ha, 181, operator tu memang rajin no bercakap.
H805:	Naik?
A806:	Naik!
A807:	Mari sini kejap Minah ni.
A808:	Kan sakit kena kepit gini.
A809:	Ambil yang botol kecil tu sekilo.
A810:	Dia, mak... nak tiga kilo, sekilo.
B811:	Mak.
C812:	4 kilo dan 1 kilo, aku pesan 2 kali.

