B1:	*pro_2nd_S* Pilih-pilihlah.
A42:	*pro_3rd_S* Pakai acu nak duduk *pro_3rd_S* bekah (koyak) *pro_3rd_S* susah-susah sangat *pro_1st_S* tak payahlah.
B43:	*pro_2nd_S* Tak nak yang tu *pro_2nd_S* ambik yang lain---baju ke---rugi pulak kita kalau *pro_2nd_S* tak ambik.
B44:	Ni pun merah dah ni *pro_1st_S* bagi *pro_3rd_IO* dua belas ringgit, *pro_1st_S* boleh berapa sen saja atas sehelai ni bukannya *pro_1st_S* boleh untung banyak.
A45:	*pro_1st_S* Ambik *pro_3rd_DO* sajalah ye---untuk *pro_3rd_S* pakai balik ni, nanti lain kali *pro_1st_S* beli yang lain.
B46:	*pro_2nd_S* Ambiklah*pro_3rd_DO* ---*pro_2nd_S* tengok seluar dia pakai tu, *pro_3rd_S* koyak dah sikit.
A47:	Lepas tu baju tu *pro_2nd_S* boleh bagi *pro_1st_DO* berapa?
B48:	*pro_3rd_S* Tiga ringgit, *pro_1st_S* tak boleh gi dua ringgit.
B49:	Kita boleh apa sen saja ni----sama-sama kita ni saya tak jual *pro_3rd_DO* mahal.
A50:	*pro_2nd_S* Bagi *pro_1st_IO* dua ringgit dah.
B51:	*pro_1st_S* Mintak maaflah---saya boleh berapa sen saja ni---*pro_1st_S* bukan boleh serial dua tiga rial, dua tiga sen yah.
B52:	Harga *pro_3rd_P* mari dah tiga puluh ringgit sedozen.
B53:	*pro_1st_S* Jual *pro_3rd_DO* tiga ringgit sehelai, *pro_2nd_S* kiralah *pro_3rd_DO* , apa sen saya dapat.
A54:	Yang ni tadi berapa, *pro_3rd_S* lima ringgit ya?
A55:	*pro_2nd_S* Kurang *pro_3rd_DO* empat ringgit setengah dah.
A56:	*pro_2nd_S* Takkan tak boleh kurang *pro_3rd_DO* sesen pun.
A57:	*pro_2nd_S* Jual *pro_3rd_DO* macam supermarket ni.
B58:	*pro_1st_S* Tak boleh dah, kita jual *pro_3rd_DO* murah dah seluar tu kita bagi *pro_2nd_IO* dua belas ringgit, kalau di supermarket *pro_3rd_S* dua puluh ringgit ke atas dah---*pro_1st_S* tak kurang *pro_3rd_DO* dah---ni kita nak bagi *pro_2nd_IO* *pro_3rd_DO* dua belas ringgit yah.
A59:	Ni seluar budak ni berapa?
B60:	*pro_3rd_S* Tiga ringgit.
A61:	*pro_3rd_S* Tiga ringgit kita biasa beli *pro_3rd_DO* dua ringgit setengah yah.
B62:	Yang tu Siam punya.
B63:	Yang ni Malaysia.
A64:	Dua ringgit setengah tu Malaysia dah.
A65:	*pro_2nd_S* Biarlah *pro_1st_S* ambik yang ni dua ringgit setengah.
B66:	*pro_3rd_S* Dua ringgit setengah *pro_1st_S* tak boleh jual ni.
A67:	*pro_2nd_S* Tak boleh tak payahlah.
B68:	Alah... *pro_1st_S* kira *pro_3rd_S* mudah-mudahlah dik.
A69:	Mudah apa *pro_2nd_S* tak boleh kurang sesen pun.
B70:	Pusing-pusing pulak dia... pening kepala juga kita.
A71:	Kita pun pening kepala juga---yang ni tak boleh kurang---yang tu tak boleh kurang.
B72:	*pro_2nd_S* Kasihanlah kita.
A73:	*pro_2nd_S* Kiralah berapa semuanya.
